"variable","description","FHIR resources where variable could be found"
"Age at diagnosis","Age in years at initial pLGG diagnosis","FHIR Encounter (diagnosis date context via Encounter.period.start), FHIR Condition (Condition.onsetDateTime / recordedDate), FHIR DocumentReference (if only stated in note text)"
"Tumor location","Anatomic site (cerebellum, optic pathway, etc.)","FHIR Condition (Condition.bodySite), FHIR DiagnosticReport (imaging report describing location), FHIR DocumentReference (clinic/radiology narrative)"
"Tumor size / mass effect","Size, hydrocephalus, mass effect, midline shift","FHIR DiagnosticReport (radiology), FHIR DocumentReference (radiology narrative), FHIR Condition (secondary problems like hydrocephalus as separate Condition)"
"Symptom burden","Seizures, headache, deficits, vision/endocrine symptoms","FHIR Condition (e.g., seizures, headache diagnoses), FHIR Encounter (reason for visit / presenting complaint context), FHIR DocumentReference (HPI narrative)"
"NF1 status","Neurofibromatosis type 1 presence","FHIR Condition (NF1 as problem-list diagnosis), FHIR DocumentReference (genetics/oncology note), FHIR DiagnosticReport (genetic testing report if present)"
"Extent of resection","GTR/STR/biopsy/unresectable","FHIR Procedure (surgical procedure + outcomes/notes), FHIR DocumentReference (operative note), FHIR DiagnosticReport (pathology report may imply tissue type), FHIR Condition (rarely; only if encoded in staging-like extensions)"
"Histologic diagnosis","WHO subtype (pilocytic astrocytoma, etc.)","FHIR DiagnosticReport (pathology report), FHIR Condition (tumor diagnosis on problem list), FHIR DocumentReference (pathology narrative)"
"Molecular driver","BRAF V600E, BRAF fusion, NF1/MAPK activation, etc.","FHIR DiagnosticReport (molecular/pathology/genomics report), FHIR Condition (tumor w/ molecular characterization if modeled), FHIR DocumentReference (genomics narrative / tumor board note)"
"Radiographic progression","MRI progression status","FHIR DiagnosticReport (radiology impression over time), FHIR DocumentReference (oncology assessment), FHIR Condition (if explicitly coded as “disease progression” condition)"
"Functional progression","Decline in function (vision/neuro/endocrine/QoL)","FHIR Condition (e.g., vision loss, endocrine disorders), FHIR Encounter (functional status changes in visit context), FHIR DocumentReference (clinical narrative)"
"Visual acuity","measures quantified VA and trend","FHIR DiagnosticReport (ophthalmology testing report if issued as report), FHIR DocumentReference (ophthalmology note), FHIR Encounter (ophthalmology visit context)"
"Endocrine function","Pituitary/hypothalamic dysfunction, DI, deficiencies","FHIR Condition (endocrine diagnoses), FHIR DiagnosticReport (relevant endocrine testing reports), FHIR DocumentReference (endocrine/oncology notes)"
"Prior therapy exposure","Prior surgery/chemo/targeted/RT history","FHIR Procedure (surgeries, radiation course procedures), FHIR MedicationRequest (systemic therapies), FHIR DocumentReference (treatment history narrative), FHIR Encounter (therapy visits context)"
"Treatment toxicity","Neuropathy, myelosuppression, rash, etc.","FHIR Condition (toxicity diagnoses like neuropathy), FHIR Encounter (AE visit/admission context), FHIR DocumentReference (toxicity assessment in notes)"
"Response to therapy","PR/SD/PD narrative response","FHIR DocumentReference (oncology assessment), FHIR DiagnosticReport (radiology comparison; response language often in impression), FHIR Condition (if represented as outcome/status extension)"
"Pattern of regrowth","Progression vs rebound off targeted vs resistance","FHIR DocumentReference (oncology interpretation), FHIR DiagnosticReport (imaging trend evidence), FHIR Condition (rare; usually narrative)"
"Age at progression","Age in years when progression occurred","FHIR Encounter (date of progression assessment), FHIR Condition (progression documented as condition/event date), FHIR DocumentReference (if only narrated)"
"Radiotherapy exposure history","Whether RT given; type (proton/photon), dose","FHIR Procedure (radiation therapy course/procedures), FHIR DocumentReference (radiation oncology note), FHIR DiagnosticReport (RT planning/summary reports if present)"
"Neurocognitive risk","Baseline impairment / high risk for late effects","FHIR Condition (cognitive impairment/learning disorder), FHIR DiagnosticReport (neuropsych testing report), FHIR DocumentReference (neuropsych/oncology notes)"
"Clinical trial availability","Trial discussed/eligible/enrolled","FHIR DocumentReference (oncology note / consent / trial discussion), FHIR Encounter (trial visit context), FHIR Procedure (consent/enrollment sometimes modeled locally), FHIR Condition (not typical)"
